forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.7,134,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.75,243,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.75,182,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.75,153,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.75,142,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.8,248,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.8,187,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.8,159.2,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.8,151,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.85,255.150000000001,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.85,195,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.85,169,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.85,163,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.9,272,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.9,211,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.9,183.1,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.9,186,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.95,304.05,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.95,244,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.95,218,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.95,251.05,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.975,332,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.975,273,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.975,274,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.975,333,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.99,370,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.99,323,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.99,356.050000000001,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.99,472,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,point,NA,228,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,point,NA,168,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,point,NA,133,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,point,NA,111,Bulgaria
2021-01-13,1 wk ahead inc case,2021-01-23,BG,quantile,0.01,34.99,Bulgaria
2021-01-13,2 wk ahead inc case,2021-01-30,BG,quantile,0.01,11.99,Bulgaria
2021-01-13,3 wk ahead inc case,2021-02-06,BG,quantile,0.01,5,Bulgaria
2021-01-13,4 wk ahead inc case,2021-02-13,BG,quantile,0.01,7,Bulgaria
2021-01-13,1 wk ahead inc case,2021-01-23,BG,quantile,0.025,70,Bulgaria
2021-01-13,2 wk ahead inc case,2021-01-30,BG,quantile,0.025,29.975,Bulgaria
2021-01-13,3 wk ahead inc case,2021-02-06,BG,quantile,0.025,22,Bulgaria
2021-01-13,4 wk ahead inc case,2021-02-13,BG,quantile,0.025,34.975,Bulgaria
2021-01-13,1 wk ahead inc case,2021-01-23,BG,quantile,0.05,129.95,Bulgaria
2021-01-13,2 wk ahead inc case,2021-01-30,BG,quantile,0.05,67,Bulgaria
2021-01-13,3 wk ahead inc case,2021-02-06,BG,quantile,0.05,60,Bulgaria
2021-01-13,4 wk ahead inc case,2021-02-13,BG,quantile,0.05,91,Bulgaria
2021-01-13,1 wk ahead inc case,2021-01-23,BG,quantile,0.1,245,Bulgaria
2021-01-13,2 wk ahead inc case,2021-01-30,BG,quantile,0.1,156.9,Bulgaria
2021-01-13,3 wk ahead inc case,2021-02-06,BG,quantile,0.1,154,Bulgaria
2021-01-13,4 wk ahead inc case,2021-02-13,BG,quantile,0.1,247,Bulgaria
2021-01-13,1 wk ahead inc case,2021-01-23,BG,quantile,0.15,380.85,Bulgaria
2021-01-13,2 wk ahead inc case,2021-01-30,BG,quantile,0.15,258,Bulgaria
2021-01-13,3 wk ahead inc case,2021-02-06,BG,quantile,0.15,271.85,Bulgaria
2021-01-13,4 wk ahead inc case,2021-02-13,BG,quantile,0.15,425.85,Bulgaria
2021-01-13,1 wk ahead inc case,2021-01-23,BG,quantile,0.2,509.8,Bulgaria
