"","scenario","forecast_date","target","target_end_date","location","type","quantile","value","location_name"
"180","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.95,27012,"Belgium"
"181","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.975,23264,"Belgium"
"182","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.975,25268,"Belgium"
"183","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.975,27656,"Belgium"
"184","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.975,30234,"Belgium"
"185","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.99,25602,"Belgium"
"186","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.99,28279,"Belgium"
"187","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.99,30843,"Belgium"
"188","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.99,33954,"Belgium"
"189","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","point",NA,11331,"Belgium"
"190","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","point",NA,12231,"Belgium"
"191","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","point",NA,12941,"Belgium"
"192","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","point",NA,13418,"Belgium"
"193","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.01,21,"Bulgaria"
"194","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.01,15,"Bulgaria"
"195","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.01,13,"Bulgaria"
"196","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.01,11,"Bulgaria"
"197","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.025,62,"Bulgaria"
"198","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.025,46,"Bulgaria"
"199","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.025,38,"Bulgaria"
"200","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.025,32,"Bulgaria"
"201","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.05,120,"Bulgaria"
"202","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.05,86,"Bulgaria"
"203","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.05,68,"Bulgaria"
"204","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.05,55,"Bulgaria"
"205","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.1,168,"Bulgaria"
"206","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.1,125,"Bulgaria"
"207","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.1,94,"Bulgaria"
"208","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.1,68,"Bulgaria"
"209","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.15,180,"Bulgaria"
"210","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.15,135,"Bulgaria"
"211","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.15,101,"Bulgaria"
"212","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.15,75,"Bulgaria"
"213","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.2,185,"Bulgaria"
"214","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.2,140,"Bulgaria"
"215","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.2,105,"Bulgaria"
"216","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.2,79,"Bulgaria"
"217","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.25,190,"Bulgaria"
"218","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.25,142,"Bulgaria"
"219","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.25,108,"Bulgaria"
"220","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.25,83,"Bulgaria"
"221","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.3,194,"Bulgaria"
"222","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.3,145,"Bulgaria"
"223","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.3,111,"Bulgaria"
"224","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.3,86,"Bulgaria"
"225","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.35,196,"Bulgaria"
"226","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.35,147,"Bulgaria"
"227","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.35,112,"Bulgaria"
"228","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.35,89,"Bulgaria"
"229","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.4,199,"Bulgaria"
"230","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.4,148,"Bulgaria"
"231","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.4,115,"Bulgaria"
"232","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.4,93,"Bulgaria"
"233","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.45,202,"Bulgaria"
"234","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.45,150,"Bulgaria"
"235","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.45,117,"Bulgaria"
"236","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.45,97,"Bulgaria"
"237","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.5,205,"Bulgaria"
"238","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.5,151,"Bulgaria"
"239","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.5,120,"Bulgaria"
"240","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.5,100,"Bulgaria"
"241","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.55,207,"Bulgaria"
"242","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.55,153,"Bulgaria"
"243","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.55,122,"Bulgaria"
"244","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.55,104,"Bulgaria"
"245","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.6,210,"Bulgaria"
"246","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.6,155,"Bulgaria"
"247","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.6,124,"Bulgaria"
"248","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BG","quantile",0.6,109,"Bulgaria"
"249","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BG","quantile",0.65,212,"Bulgaria"
"250","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BG","quantile",0.65,158,"Bulgaria"
"251","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BG","quantile",0.65,128,"Bulgaria"
