forecast_data,target,target_end_date,location,type,quantile,value
2021-04-26,1 wk ahead inc case,2021-05-01,PT,point,NA,3562
2021-04-26,1 wk ahead inc case,2021-05-01,PT,quantile,0.025,1051
2021-04-26,1 wk ahead inc case,2021-05-01,PT,quantile,0.250,2742
2021-04-26,1 wk ahead inc case,2021-05-01,PT,quantile,0.750,4527
2021-04-26,1 wk ahead inc case,2021-05-01,PT,quantile,0.975,12989
2021-04-26,2 wk ahead inc case,2021-05-08,PT,point,NA,7095
2021-04-26,2 wk ahead inc case,2021-05-08,PT,quantile,0.025,589
2021-04-26,2 wk ahead inc case,2021-05-08,PT,quantile,0.250,3952
2021-04-26,2 wk ahead inc case,2021-05-08,PT,quantile,0.750,10501
2021-04-26,2 wk ahead inc case,2021-05-08,PT,quantile,0.975,55017
2021-04-26,1 wk ahead inc case,2021-05-01,RO,point,NA,13058
2021-04-26,1 wk ahead inc case,2021-05-01,RO,quantile,0.025,3852
2021-04-26,1 wk ahead inc case,2021-05-01,RO,quantile,0.250,10054
2021-04-26,1 wk ahead inc case,2021-05-01,RO,quantile,0.750,16596
2021-04-26,1 wk ahead inc case,2021-05-01,RO,quantile,0.975,47622
2021-04-26,2 wk ahead inc case,2021-05-08,RO,point,NA,22488
2021-04-26,2 wk ahead inc case,2021-05-08,RO,quantile,0.025,1867
2021-04-26,2 wk ahead inc case,2021-05-08,RO,quantile,0.250,12526
2021-04-26,2 wk ahead inc case,2021-05-08,RO,quantile,0.750,33282
2021-04-26,2 wk ahead inc case,2021-05-08,RO,quantile,0.975,174373
2021-04-26,1 wk ahead inc case,2021-05-01,SE,point,NA,7187
2021-04-26,1 wk ahead inc case,2021-05-01,SE,quantile,0.025,2120
2021-04-26,1 wk ahead inc case,2021-05-01,SE,quantile,0.250,5534
2021-04-26,1 wk ahead inc case,2021-05-01,SE,quantile,0.750,9134
2021-04-26,1 wk ahead inc case,2021-05-01,SE,quantile,0.975,26210
2021-04-26,2 wk ahead inc case,2021-05-08,SE,point,NA,10029
2021-04-26,2 wk ahead inc case,2021-05-08,SE,quantile,0.025,832
2021-04-26,2 wk ahead inc case,2021-05-08,SE,quantile,0.250,5586
2021-04-26,2 wk ahead inc case,2021-05-08,SE,quantile,0.750,14843
2021-04-26,2 wk ahead inc case,2021-05-08,SE,quantile,0.975,77763
2021-04-26,1 wk ahead inc case,2021-05-01,SI,point,NA,4488
2021-04-26,1 wk ahead inc case,2021-05-01,SI,quantile,0.025,1324
2021-04-26,1 wk ahead inc case,2021-05-01,SI,quantile,0.250,3455
2021-04-26,1 wk ahead inc case,2021-05-01,SI,quantile,0.750,5704
2021-04-26,1 wk ahead inc case,2021-05-01,SI,quantile,0.975,16366
2021-04-26,2 wk ahead inc case,2021-05-08,SI,point,NA,8400
2021-04-26,2 wk ahead inc case,2021-05-08,SI,quantile,0.025,697
2021-04-26,2 wk ahead inc case,2021-05-08,SI,quantile,0.250,4679
2021-04-26,2 wk ahead inc case,2021-05-08,SI,quantile,0.750,12432
2021-04-26,2 wk ahead inc case,2021-05-08,SI,quantile,0.975,65131
2021-04-26,1 wk ahead inc case,2021-05-01,SK,point,NA,3247
2021-04-26,1 wk ahead inc case,2021-05-01,SK,quantile,0.025,958
2021-04-26,1 wk ahead inc case,2021-05-01,SK,quantile,0.250,2500
2021-04-26,1 wk ahead inc case,2021-05-01,SK,quantile,0.750,4127
2021-04-26,1 wk ahead inc case,2021-05-01,SK,quantile,0.975,11841
2021-04-26,2 wk ahead inc case,2021-05-08,SK,point,NA,5816
2021-04-26,2 wk ahead inc case,2021-05-08,SK,quantile,0.025,483
2021-04-26,2 wk ahead inc case,2021-05-08,SK,quantile,0.250,3239
2021-04-26,2 wk ahead inc case,2021-05-08,SK,quantile,0.750,8607
2021-04-26,2 wk ahead inc case,2021-05-08,SK,quantile,0.975,45096
