model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-ensemble,inc case,4,BE,1.19,1.26,0.37,0.84,0.19,19,1,Belgium
IEM_Health-CovidProject,inc case,4,BE,1.64,1.57,0.21,0.68,0.26,19,1,Belgium
ILM-EKF,inc case,4,BE,1.51,1.51,0.42,0.84,0.09,19,1,Belgium
LANL-GrowthRate,inc case,4,BE,0.88,0.94,0.39,0.78,-0.04,18,1,Belgium
MUNI-ARIMA,inc case,4,BE,1.09,1.36,0.2,1,0.04,10,1,Belgium
RobertWalraven-ESG,inc case,4,BE,0.67,1.18,0.32,0.79,-0.02,19,1,Belgium
USC-SIkJalpha,inc case,4,BE,0.83,1.2,0.32,0.37,-0.01,19,1,Belgium
UVA-Ensemble,inc case,4,BE,1.07,NA,0,0.38,NA,16,1,Belgium
epiforecasts-EpiNow2,inc case,4,BE,1.24,1.36,0.47,0.68,0.09,19,1,Belgium
LANL-GrowthRate,inc case,5,BE,NA,NA,0.35,0.76,0.09,17,1,Belgium
USC-SIkJalpha,inc case,5,BE,NA,NA,0.28,0.39,-0.04,18,1,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,1,1,0.86,1,0.16,22,1,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,0.86,0.52,0.77,1,0.08,22,1,Belgium
IEM_Health-CovidProject,inc death,1,BE,1.14,0.62,0.59,0.91,0.06,22,1,Belgium
ILM-EKF,inc death,1,BE,0.9,0.88,1,1,0.12,22,1,Belgium
Karlen-pypm,inc death,1,BE,0.47,0.75,0.25,1,0.05,4,1,Belgium
LANL-GrowthRate,inc death,1,BE,1.45,0.7,0.29,0.86,-0.02,21,1,Belgium
MUNI-ARIMA,inc death,1,BE,0.85,0.73,0.64,0.93,-0.1,14,1,Belgium
RobertWalraven-ESG,inc death,1,BE,0.98,0.59,0.77,1,0.01,22,1,Belgium
SDSC_ISG-TrendModel,inc death,1,BE,1.14,NA,NA,NA,NA,19,1,Belgium
UMass-MechBayes,inc death,1,BE,0.78,0.47,0.68,1,-0.09,19,1,Belgium
USC-SIkJalpha,inc death,1,BE,1.2,0.68,0.32,0.55,0.16,22,1,Belgium
USyd-OneModelMan,inc death,1,BE,0.95,NA,NA,NA,NA,19,1,Belgium
epiforecasts-EpiNow2,inc death,1,BE,1.59,0.81,0.48,0.9,0.34,21,1,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,1,1,0.95,1,0.1,21,1,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,0.68,0.41,0.86,1,0.16,21,1,Belgium
IEM_Health-CovidProject,inc death,2,BE,1.01,0.64,0.43,0.86,0.11,21,1,Belgium
ILM-EKF,inc death,2,BE,0.73,0.62,0.9,1,0.22,21,1,Belgium
LANL-GrowthRate,inc death,2,BE,0.91,0.55,0.4,0.85,-0.09,20,1,Belgium
MUNI-ARIMA,inc death,2,BE,0.75,0.67,0.62,1,0.01,13,1,Belgium
