model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,2,BE,2154,1041,769,344,0.95,2804,0.88,0.63,0.84,-0.05,1,19,Belgium
EuroCOVIDhub-relative_skill_weighted_mean,inc case,4,BE,4186,1928,1195,1063,1.12,5627,0.93,0.44,0.89,0.13,1,18,Belgium
EuroCOVIDhub-relative_skill_weighted_median,inc case,4,BE,4040,1675,1405,959,1.05,5550,0.91,0.44,0.83,0.03,1,18,Belgium
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,3,BE,2893,1223,1043,626,1,3836,0.85,0.59,0.82,0.02,1,17,Belgium
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,3,BE,2848,1093,1206,548,0.97,3808,0.84,0.65,0.76,-0.02,1,17,Belgium
MUNI-ARIMA,inc case,1,BE,2567,642,1397,528,1.84,3659,1.88,0.29,0.82,-0.08,1,17,Belgium
MUNI-ARIMA,inc case,2,BE,3482,1341,1451,690,1.59,5109,1.57,0.56,0.88,-0.04,1,16,Belgium
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,4,BE,3889,1421,1530,938,1.1,5273,0.9,0.4,0.73,0.11,1,15,Belgium
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,4,BE,3700,1102,1718,880,1.02,5291,0.9,0.4,0.73,0.01,1,15,Belgium
RobertWalraven-ESG,inc case,1,BE,1728,499,622,607,1.2,3333,1.32,0.28,0.84,-0.07,1,25,Belgium
MUNI-ARIMA,inc case,3,BE,4495,1839,1637,1018,1.55,7221,1.58,0.5,0.93,-0.05,1,14,Belgium
RobertWalraven-ESG,inc case,2,BE,2638,615,1198,825,1.12,4718,1.02,0.25,0.79,-0.04,1,24,Belgium
MUNI-ARIMA,inc case,4,BE,5335,2335,1748,1252,1.51,8843,1.56,0.31,1,-0.05,1,13,Belgium
RobertWalraven-ESG,inc case,3,BE,3335,722,1722,891,1.09,5788,0.89,0.26,0.78,0.01,1,23,Belgium
RobertWalraven-ESG,inc case,4,BE,3666,834,2007,824,0.97,4952,0.68,0.36,0.82,-0.05,1,22,Belgium
Karlen-pypm,inc case,1,BE,1625,1101,82,442,1.32,2395,1.48,0.86,1,0.07,1,7,Belgium
Karlen-pypm,inc case,2,BE,4635,2188,130,2317,2.51,7273,2.93,0.5,1,0.16,1,6,Belgium
Karlen-pypm,inc case,3,BE,11408,4432,108,6868,5.25,17647,5.96,0.6,0.8,0.27,1,5,Belgium
Karlen-pypm,inc case,4,BE,25545,8661,89,16795,9.4,39500,11.28,0.5,0.5,0.4,1,4,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,19,14,2,4,1,19,1,0.88,1,0.13,1,25,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,11,7,1,2,0.53,14,0.74,0.76,1,0.04,1,25,Belgium
EuroCOVIDhub-mean,inc death,1,BE,11,7,1,2,0.53,14,0.74,0.8,1,0.05,1,25,Belgium
