model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
IEM_Health-CovidProject,inc death,2,HR,41,9,32,0,0.99,1.17,0,0.75,-0.84,1,4,Croatia
ILM-EKF,inc death,2,HR,21,19,1,0,0.5,0.23,1,1,-0.17,1,4,Croatia
LANL-GrowthRate,inc death,2,HR,23,7,17,0,0.56,0.65,0,1,-0.75,1,4,Croatia
RobertWalraven-ESG,inc death,2,HR,64,3,61,0,1.53,1.23,0,0,-1,1,4,Croatia
USC-SIkJalpha,inc death,2,HR,17,9,7,0,0.41,0.39,0.5,1,-0.38,1,4,Croatia
epiforecasts-EpiNow2,inc death,2,HR,18,10,0,8,0.43,0.46,0.5,1,0.55,1,4,Croatia
EuroCOVIDhub-baseline,inc case,1,HU,9074,285,4124,4666,1,1,0,0.4,-0.19,1,5,Hungary
EuroCOVIDhub-ensemble,inc case,1,HU,5911,2895,91,2925,0.65,0.81,0.6,1,0.41,1,5,Hungary
IEM_Health-CovidProject,inc case,1,HU,12190,2923,11,9256,1.34,1.63,0.2,0.8,0.69,1,5,Hungary
ILM-EKF,inc case,1,HU,7716,2094,0,5622,0.85,1,0.4,0.6,0.7,1,5,Hungary
LANL-GrowthRate,inc case,1,HU,3035,2270,256,509,0.33,0.36,1,1,0.16,1,5,Hungary
USC-SIkJalpha,inc case,1,HU,9266,5991,1569,1705,1.02,1.27,0.6,1,-0.04,1,5,Hungary
epiforecasts-EpiNow2,inc case,1,HU,5974,2620,0,3354,0.66,0.73,0.4,0.8,0.54,1,5,Hungary
EuroCOVIDhub-baseline,inc case,2,HU,13312,613,6501,6198,1,1,0.25,0.25,-0.38,1,4,Hungary
EuroCOVIDhub-ensemble,inc case,2,HU,13233,5157,0,8076,0.99,1.29,0.5,0.75,0.62,1,4,Hungary
IEM_Health-CovidProject,inc case,2,HU,27949,5067,0,22882,2.1,2.59,0,0.5,0.91,1,4,Hungary
ILM-EKF,inc case,2,HU,21512,5238,0,16274,1.62,2.07,0,0.75,0.88,1,4,Hungary
LANL-GrowthRate,inc case,2,HU,8235,3235,0,5000,0.62,0.76,0.5,1,0.51,1,4,Hungary
USC-SIkJalpha,inc case,2,HU,13183,6537,1658,4989,0.99,1.11,0.75,0.75,0.07,1,4,Hungary
epiforecasts-EpiNow2,inc case,2,HU,12882,6192,0,6690,0.97,1.26,0.5,1,0.64,1,4,Hungary
EuroCOVIDhub-baseline,inc death,1,HU,148,7,137,4,1,1,0,0.6,-0.61,1,5,Hungary
EuroCOVIDhub-ensemble,inc death,1,HU,72,59,3,10,0.49,0.46,1,1,0.14,1,5,Hungary
IEM_Health-CovidProject,inc death,1,HU,114,47,9,57,0.77,0.96,0.6,1,0.14,1,5,Hungary
ILM-EKF,inc death,1,HU,132,97,2,33,0.89,0.97,1,1,0.28,1,5,Hungary
LANL-GrowthRate,inc death,1,HU,69,21,49,0,0.47,0.54,0.6,0.8,-0.52,1,5,Hungary
RobertWalraven-ESG,inc death,1,HU,136,9,85,41,0.92,0.88,0,0.2,-0.24,1,5,Hungary
USC-SIkJalpha,inc death,1,HU,181,160,5,16,1.22,0.71,1,1,0.18,1,5,Hungary
epiforecasts-EpiNow2,inc death,1,HU,162,40,0,122,1.1,1.2,0.4,0.6,0.66,1,5,Hungary
EuroCOVIDhub-baseline,inc death,2,HU,333,15,318,0,1,1,0.25,0.25,-0.85,1,4,Hungary
EuroCOVIDhub-ensemble,inc death,2,HU,118,84,0,34,0.35,0.37,0.75,1,0.32,1,4,Hungary
IEM_Health-CovidProject,inc death,2,HU,219,72,28,119,0.66,0.89,0.5,0.75,0.1,1,4,Hungary
ILM-EKF,inc death,2,HU,296,142,0,154,0.89,1.25,0.25,1,0.6,1,4,Hungary
LANL-GrowthRate,inc death,2,HU,185,44,141,0,0.56,0.75,0.5,1,-0.66,1,4,Hungary
RobertWalraven-ESG,inc death,2,HU,278,10,226,43,0.84,0.8,0,0,-0.5,1,4,Hungary
USC-SIkJalpha,inc death,2,HU,278,178,0,100,0.84,0.75,0.75,0.75,0.4,1,4,Hungary
epiforecasts-EpiNow2,inc death,2,HU,402,78,0,324,1.21,1.48,0,0.5,0.82,1,4,Hungary
EuroCOVIDhub-baseline,inc case,1,IE,335,180,50,105,1,1,0.6,1,0.26,1,5,Ireland
EuroCOVIDhub-ensemble,inc case,1,IE,288,213,24,51,0.86,0.86,0.8,1,0.08,1,5,Ireland
IEM_Health-CovidProject,inc case,1,IE,327,197,90,40,0.98,1.2,0.4,1,-0.18,1,5,Ireland
ILM-EKF,inc case,1,IE,395,243,84,68,1.18,1.51,0.6,1,-0.08,1,5,Ireland
LANL-GrowthRate,inc case,1,IE,302,129,111,62,0.9,1.25,0.2,1,-0.2,1,5,Ireland
USC-SIkJalpha,inc case,1,IE,302,192,62,48,0.9,1.09,0.8,1,-0.04,1,5,Ireland
epiforecasts-EpiNow2,inc case,1,IE,513,303,70,140,1.53,2.01,0.6,1,0.12,1,5,Ireland
EuroCOVIDhub-baseline,inc case,2,IE,511,377,33,101,1,1,0.75,1,0.07,1,4,Ireland
EuroCOVIDhub-ensemble,inc case,2,IE,1088,781,138,169,2.13,2.32,0.5,1,-0,1,4,Ireland
IEM_Health-CovidProject,inc case,2,IE,555,238,253,64,1.08,1.77,0.5,1,-0.3,1,4,Ireland
ILM-EKF,inc case,2,IE,648,364,203,81,1.27,2.09,0.5,1,-0.18,1,4,Ireland
LANL-GrowthRate,inc case,2,IE,556,165,275,117,1.09,1.69,0.25,1,-0.26,1,4,Ireland
USC-SIkJalpha,inc case,2,IE,448,166,162,119,0.88,1.42,0.25,0.75,-0.22,1,4,Ireland
epiforecasts-EpiNow2,inc case,2,IE,3014,2102,196,716,5.89,6.88,0.5,1,0.1,1,4,Ireland
EuroCOVIDhub-baseline,inc death,1,IE,15,4,2,8,1,1,0.6,1,-0.06,1,5,Ireland
EuroCOVIDhub-ensemble,inc death,1,IE,12,7,1,4,0.82,0.81,0.8,1,-0.04,1,5,Ireland
IEM_Health-CovidProject,inc death,1,IE,17,11,6,0,1.19,1.08,0.6,1,-0.36,1,5,Ireland
ILM-EKF,inc death,1,IE,15,11,1,3,1.02,0.9,0.8,1,0,1,5,Ireland
LANL-GrowthRate,inc death,1,IE,14,4,5,5,0.95,1.04,0.4,1,-0.25,1,5,Ireland
RobertWalraven-ESG,inc death,1,IE,12,6,4,2,0.8,0.96,0.6,1,-0.28,1,5,Ireland
USC-SIkJalpha,inc death,1,IE,13,4,1,8,0.9,0.77,0.8,0.8,0.02,1,5,Ireland
epiforecasts-EpiNow2,inc death,1,IE,13,8,0,5,0.86,0.79,0.8,1,0.38,1,5,Ireland
EuroCOVIDhub-baseline,inc death,2,IE,20,9,1,11,1,1,0.5,1,0.25,1,4,Ireland
EuroCOVIDhub-ensemble,inc death,2,IE,12,8,1,3,0.58,0.58,0.75,1,0.12,1,4,Ireland
IEM_Health-CovidProject,inc death,2,IE,22,13,8,2,1.1,1.31,0.75,1,-0.28,1,4,Ireland
ILM-EKF,inc death,2,IE,12,11,0,1,0.6,0.38,1,1,0.1,1,4,Ireland
LANL-GrowthRate,inc death,2,IE,11,4,2,5,0.57,0.71,0.5,1,0.15,1,4,Ireland
RobertWalraven-ESG,inc death,2,IE,12,7,4,1,0.58,0.65,0.75,1,-0.22,1,4,Ireland
USC-SIkJalpha,inc death,2,IE,12,5,1,7,0.59,0.65,0.5,1,0.36,1,4,Ireland
epiforecasts-EpiNow2,inc death,2,IE,20,11,0,9,0.98,0.97,0.5,1,0.55,1,4,Ireland
EuroCOVIDhub-baseline,inc case,1,IS,13,5,5,3,1,1,0.4,1,-0.12,1,5,Iceland
EuroCOVIDhub-ensemble,inc case,1,IS,15,10,3,2,1.17,1.04,0.4,1,-0.16,1,5,Iceland
IEM_Health-CovidProject,inc case,1,IS,19,5,9,5,1.48,1.69,0.2,1,-0.45,1,5,Iceland
ILM-EKF,inc case,1,IS,19,3,16,0,1.53,1.73,0.4,1,-0.7,1,5,Iceland
LANL-GrowthRate,inc case,1,IS,19,2,17,0,1.5,1.28,0.4,0.4,-0.68,1,5,Iceland
USC-SIkJalpha,inc case,1,IS,31,23,8,1,2.42,1.36,0.4,0.8,-0.5,1,5,Iceland
epiforecasts-EpiNow2,inc case,1,IS,37,13,6,18,2.93,3.17,0,0.8,-0.21,1,5,Iceland
EuroCOVIDhub-baseline,inc case,2,IS,21,10,8,2,1,1,0.75,1,-0.25,1,4,Iceland
EuroCOVIDhub-ensemble,inc case,2,IS,20,14,3,2,0.96,0.53,0.75,1,-0.19,1,4,Iceland
IEM_Health-CovidProject,inc case,2,IS,29,6,21,2,1.4,1.19,0.25,0.5,-0.55,1,4,Iceland
ILM-EKF,inc case,2,IS,25,3,22,0,1.22,1.17,0,1,-0.84,1,4,Iceland
LANL-GrowthRate,inc case,2,IS,28,2,26,0,1.36,0.96,0,0.5,-0.89,1,4,Iceland
USC-SIkJalpha,inc case,2,IS,26,6,19,0,1.24,0.96,0.25,0.5,-0.6,1,4,Iceland
epiforecasts-EpiNow2,inc case,2,IS,60,27,15,19,2.92,2.29,0.25,0.75,-0.34,1,4,Iceland
EuroCOVIDhub-baseline,inc death,1,IS,0,0,0,0,NA,NA,1,1,0,1,5,Iceland
EuroCOVIDhub-ensemble,inc death,1,IS,0,0,0,0,NA,Inf,1,1,0.02,1,5,Iceland
IEM_Health-CovidProject,inc death,1,IS,0,0,0,0,NA,Inf,1,1,0.14,1,5,Iceland
ILM-EKF,inc death,1,IS,0,0,0,0,NA,Inf,1,1,0.06,1,5,Iceland
LANL-GrowthRate,inc death,1,IS,0,0,0,0,NA,NA,1,1,0,1,5,Iceland
RobertWalraven-ESG,inc death,1,IS,0,0,0,0,NA,NA,1,1,0,1,5,Iceland
USC-SIkJalpha,inc death,1,IS,0,0,0,0,0,NA,1,1,0,1,5,Iceland
epiforecasts-EpiNow2,inc death,1,IS,0,0,0,0,NA,NA,1,1,0,1,5,Iceland
EuroCOVIDhub-baseline,inc death,2,IS,0,0,0,0,NA,NA,1,1,0,1,4,Iceland
EuroCOVIDhub-ensemble,inc death,2,IS,0,0,0,0,NA,Inf,1,1,0.12,1,4,Iceland
IEM_Health-CovidProject,inc death,2,IS,1,1,0,0,NA,Inf,1,1,0.12,1,4,Iceland
ILM-EKF,inc death,2,IS,0,0,0,0,NA,Inf,1,1,0.1,1,4,Iceland
LANL-GrowthRate,inc death,2,IS,0,0,0,0,NA,NA,1,1,0,1,4,Iceland
RobertWalraven-ESG,inc death,2,IS,0,0,0,0,NA,NA,1,1,0,1,4,Iceland
USC-SIkJalpha,inc death,2,IS,0,0,0,0,0,NA,1,1,0,1,4,Iceland
epiforecasts-EpiNow2,inc death,2,IS,0,0,0,0,NA,Inf,1,1,0.05,1,4,Iceland
EuroCOVIDhub-baseline,inc case,1,IT,10216,1396,1964,6857,1,1,0.4,1,0.17,1,5,Italy
EuroCOVIDhub-ensemble,inc case,1,IT,9105,4874,0,4230,0.89,0.88,0.6,0.8,0.46,1,5,Italy
IEM_Health-CovidProject,inc case,1,IT,12310,4752,0,7558,1.2,1.46,0.2,1,0.64,1,5,Italy
ILM-EKF,inc case,1,IT,10368,6539,16,3812,1.01,1.06,0.8,1,0.4,1,5,Italy
LANL-GrowthRate,inc case,1,IT,5954,4183,1372,399,0.58,0.57,0.8,1,-0.14,1,5,Italy
UNIPV-BayesINGARCHX,inc case,1,IT,16885,1474,0,15411,1.65,1.21,0.2,0.2,0.84,1,5,Italy
USC-SIkJalpha,inc case,1,IT,13605,10271,175,3160,1.33,0.8,0.8,0.8,0.24,1,5,Italy
epiforecasts-EpiExpert,inc case,1,IT,11352,2942,0,8410,1.11,1.22,0.2,0.6,0.76,1,5,Italy
epiforecasts-EpiNow2,inc case,1,IT,7801,3730,819,3252,0.76,0.91,0.4,1,0.31,1,5,Italy
EuroCOVIDhub-baseline,inc case,2,IT,14829,3020,1674,10135,1,1,0.25,1,0.19,1,4,Italy
EuroCOVIDhub-ensemble,inc case,2,IT,16378,8281,0,8097,1.1,1.25,0.75,1,0.55,1,4,Italy
IEM_Health-CovidProject,inc case,2,IT,28023,7432,0,20590,1.89,2.14,0,0.75,0.87,1,4,Italy
ILM-EKF,inc case,2,IT,25002,15728,0,9273,1.69,1.79,0.75,1,0.48,1,4,Italy
LANL-GrowthRate,inc case,2,IT,9255,6188,154,2913,0.62,0.58,0.75,1,0.25,1,4,Italy
UNIPV-BayesINGARCHX,inc case,2,IT,18444,1470,0,16974,1.24,0.85,0.5,0.5,0.65,1,4,Italy
USC-SIkJalpha,inc case,2,IT,14122,9738,242,4142,0.95,0.76,0.75,1,0.22,1,4,Italy
epiforecasts-EpiExpert,inc case,2,IT,22960,5626,0,17333,1.55,1.65,0.25,0.75,0.82,1,4,Italy
epiforecasts-EpiNow2,inc case,2,IT,15002,9282,454,5266,1.01,1.15,0.75,1,0.3,1,4,Italy
EuroCOVIDhub-baseline,inc death,1,IT,155,58,97,0,1,1,0.2,1,-0.64,1,5,Italy
EuroCOVIDhub-ensemble,inc death,1,IT,119,84,27,8,0.77,0.79,1,1,-0.16,1,5,Italy
IEM_Health-CovidProject,inc death,1,IT,208,110,90,8,1.34,1.3,0.6,1,-0.26,1,5,Italy
ILM-EKF,inc death,1,IT,147,137,7,3,0.95,0.39,1,1,-0.02,1,5,Italy
LANL-GrowthRate,inc death,1,IT,129,26,101,2,0.83,0.82,0.2,0.6,-0.64,1,5,Italy
RobertWalraven-ESG,inc death,1,IT,159,36,123,0,1.02,0.95,0.6,0.6,-0.62,1,5,Italy
USC-SIkJalpha,inc death,1,IT,190,161,29,0,1.22,0.69,0.8,1,-0.24,1,5,Italy
epiforecasts-EpiExpert,inc death,1,IT,351,54,16,282,2.26,1.95,0.6,0.8,0.12,1,5,Italy
epiforecasts-EpiNow2,inc death,1,IT,83,39,34,10,0.53,0.53,0.8,1,-0.01,1,5,Italy
EuroCOVIDhub-baseline,inc death,2,IT,294,114,180,0,1,1,0.5,1,-0.62,1,4,Italy
EuroCOVIDhub-ensemble,inc death,2,IT,168,114,42,13,0.57,0.49,0.75,1,-0.18,1,4,Italy
IEM_Health-CovidProject,inc death,2,IT,384,146,219,18,1.3,1.21,0.5,1,-0.32,1,4,Italy
ILM-EKF,inc death,2,IT,190,183,0,6,0.64,0.17,1,1,0.05,1,4,Italy
LANL-GrowthRate,inc death,2,IT,282,58,224,0,0.96,0.92,0.25,0.5,-0.79,1,4,Italy
RobertWalraven-ESG,inc death,2,IT,404,45,359,0,1.37,1.07,0.25,0.25,-0.87,1,4,Italy
USC-SIkJalpha,inc death,2,IT,223,182,24,17,0.76,0.48,1,1,-0.02,1,4,Italy
epiforecasts-EpiExpert,inc death,2,IT,539,98,61,380,1.83,1.51,0.5,0.75,0.16,1,4,Italy
epiforecasts-EpiNow2,inc death,2,IT,159,61,31,67,0.54,0.47,0.5,0.75,0.17,1,4,Italy
EuroCOVIDhub-baseline,inc case,1,LI,9,2,6,1,1,1,0,1,-0.2,1,5,Liechtenstein
EuroCOVIDhub-ensemble,inc case,1,LI,8,3,5,0,0.93,0.92,0.8,0.8,-0.42,1,5,Liechtenstein
IEM_Health-CovidProject,inc case,1,LI,7,3,4,0,0.83,0.89,0.8,1,-0.45,1,5,Liechtenstein
ILM-EKF,inc case,1,LI,13,3,10,0,1.49,1.68,0.4,1,-0.64,1,5,Liechtenstein
LANL-GrowthRate,inc case,1,LI,8,2,7,0,0.96,0.84,0.6,0.8,-0.52,1,5,Liechtenstein
USC-SIkJalpha,inc case,1,LI,11,4,6,1,1.26,0.79,0.2,0.4,-0.28,1,5,Liechtenstein
epiforecasts-EpiNow2,inc case,1,LI,7,3,3,1,0.86,0.87,0.6,1,-0.06,1,5,Liechtenstein
EuroCOVIDhub-baseline,inc case,2,LI,10,4,6,0,1,1,0.75,1,-0.48,1,4,Liechtenstein
EuroCOVIDhub-ensemble,inc case,2,LI,9,4,5,0,0.97,1.19,0.5,1,-0.45,1,4,Liechtenstein
IEM_Health-CovidProject,inc case,2,LI,9,4,6,0,0.99,1.25,0.5,1,-0.55,1,4,Liechtenstein
ILM-EKF,inc case,2,LI,17,3,14,0,1.82,2.15,0.25,1,-0.76,1,4,Liechtenstein
LANL-GrowthRate,inc case,2,LI,13,2,11,0,1.34,1.36,0.25,0.75,-0.75,1,4,Liechtenstein
USC-SIkJalpha,inc case,2,LI,11,5,6,0,1.2,0.94,0.5,0.75,-0.5,1,4,Liechtenstein
epiforecasts-EpiNow2,inc case,2,LI,11,6,4,1,1.13,1.25,0.5,1,-0.08,1,4,Liechtenstein
EuroCOVIDhub-baseline,inc death,1,LI,0,0,0,0,1,1,0.6,1,0,1,5,Liechtenstein
EuroCOVIDhub-ensemble,inc death,1,LI,0,0,0,0,1.54,1,0.8,1,-0.1,1,5,Liechtenstein
IEM_Health-CovidProject,inc death,1,LI,1,1,0,0,4.98,4,0.2,0.8,0.18,1,5,Liechtenstein
ILM-EKF,inc death,1,LI,1,0,0,0,2.14,0.5,0.8,1,-0.19,1,5,Liechtenstein
LANL-GrowthRate,inc death,1,LI,0,0,0,0,0.84,1,1,1,-0.08,1,5,Liechtenstein
RobertWalraven-ESG,inc death,1,LI,0,0,0,0,0.9,1.5,1,1,-0.02,1,5,Liechtenstein
USC-SIkJalpha,inc death,1,LI,1,0,0,0,2.11,1.5,0.4,0.4,-0.2,1,5,Liechtenstein
epiforecasts-EpiNow2,inc death,1,LI,0,0,0,0,0.91,1,1,1,-0.1,1,5,Liechtenstein
EuroCOVIDhub-baseline,inc death,2,LI,0,0,0,0,1,1,1,1,0.12,1,4,Liechtenstein
EuroCOVIDhub-ensemble,inc death,2,LI,1,0,0,0,1.11,0.67,1,1,-0.03,1,4,Liechtenstein
IEM_Health-CovidProject,inc death,2,LI,2,1,0,0,4.33,2,0.75,0.75,0.08,1,4,Liechtenstein
ILM-EKF,inc death,2,LI,1,0,0,0,1.36,0.67,0.75,1,-0.19,1,4,Liechtenstein
LANL-GrowthRate,inc death,2,LI,0,0,0,0,0.6,0.67,1,1,0,1,4,Liechtenstein
RobertWalraven-ESG,inc death,2,LI,0,0,0,0,0.64,0.67,1,1,-0.03,1,4,Liechtenstein
USC-SIkJalpha,inc death,2,LI,0,0,0,0,0.58,0.33,0.75,0.75,-0.25,1,4,Liechtenstein
epiforecasts-EpiNow2,inc death,2,LI,0,0,0,0,0.67,0.67,1,1,-0,1,4,Liechtenstein
EuroCOVIDhub-baseline,inc case,1,LT,621,91,367,163,1,1,0,1,-0.44,1,5,Lithuania
EuroCOVIDhub-ensemble,inc case,1,LT,441,237,194,10,0.71,0.65,0.6,1,-0.32,1,5,Lithuania
IEM_Health-CovidProject,inc case,1,LT,532,268,263,0,0.86,0.91,0.6,1,-0.46,1,5,Lithuania
ILM-EKF,inc case,1,LT,551,214,265,72,0.89,1.04,0.4,1,-0.34,1,5,Lithuania
LANL-GrowthRate,inc case,1,LT,677,243,434,0,1.09,1.24,0.4,1,-0.6,1,5,Lithuania
USC-SIkJalpha,inc case,1,LT,531,378,146,7,0.86,0.47,0.6,1,-0.36,1,5,Lithuania
epiforecasts-EpiNow2,inc case,1,LT,566,220,254,93,0.91,0.97,0.4,0.8,-0.08,1,5,Lithuania
DSMPG-bayes,inc case,1,LT,398,176,158,64,0.88,0.58,0.5,1,-0.12,1,4,Lithuania
EuroCOVIDhub-baseline,inc case,2,LT,903,203,625,75,1,1,0,1,-0.45,1,4,Lithuania
EuroCOVIDhub-ensemble,inc case,2,LT,824,312,512,0,0.91,0.85,0.5,1,-0.55,1,4,Lithuania
IEM_Health-CovidProject,inc case,2,LT,978,327,651,0,1.08,1.23,0,1,-0.7,1,4,Lithuania
ILM-EKF,inc case,2,LT,922,304,599,19,1.02,1.09,0.25,1,-0.52,1,4,Lithuania
LANL-GrowthRate,inc case,2,LT,1236,291,945,0,1.37,1.46,0,1,-0.81,1,4,Lithuania
USC-SIkJalpha,inc case,2,LT,814,306,508,0,0.9,0.73,0.25,0.75,-0.68,1,4,Lithuania
epiforecasts-EpiNow2,inc case,2,LT,1203,383,718,102,1.33,1.16,0.5,0.75,-0.39,1,4,Lithuania
EuroCOVIDhub-baseline,inc death,1,LT,6,2,1,4,1,1,0.2,1,0.04,1,5,Lithuania
EuroCOVIDhub-ensemble,inc death,1,LT,6,4,0,1,1.01,1.02,0.8,1,0.14,1,5,Lithuania
IEM_Health-CovidProject,inc death,1,LT,7,6,1,0,1.12,0.95,0.8,1,-0.16,1,5,Lithuania
ILM-EKF,inc death,1,LT,12,11,0,1,1.89,0.89,1,1,-0,1,5,Lithuania
LANL-GrowthRate,inc death,1,LT,7,2,2,2,1.03,1.09,0.4,0.8,-0.26,1,5,Lithuania
RobertWalraven-ESG,inc death,1,LT,5,2,2,0,0.73,0.86,0.4,1,-0.24,1,5,Lithuania
USC-SIkJalpha,inc death,1,LT,7,3,0,3,1.05,1.11,0.6,0.8,0.38,1,5,Lithuania
epiforecasts-EpiNow2,inc death,1,LT,8,4,0,4,1.28,1.48,0.4,1,0.38,1,5,Lithuania
EuroCOVIDhub-baseline,inc death,2,LT,7,4,0,3,1,1,0.5,1,0.3,1,4,Lithuania
EuroCOVIDhub-ensemble,inc death,2,LT,7,5,1,1,1.11,1,0.75,1,-0,1,4,Lithuania
IEM_Health-CovidProject,inc death,2,LT,10,7,3,0,1.57,1.43,0.75,1,-0.22,1,4,Lithuania
ILM-EKF,inc death,2,LT,13,11,1,1,1.95,1.27,1,1,0.03,1,4,Lithuania
LANL-GrowthRate,inc death,2,LT,12,2,6,3,1.78,1.78,0,0.75,-0.14,1,4,Lithuania
RobertWalraven-ESG,inc death,2,LT,9,3,6,0,1.31,1.59,0.25,1,-0.75,1,4,Lithuania
USC-SIkJalpha,inc death,2,LT,9,4,1,5,1.37,1.59,0.25,0.75,0.3,1,4,Lithuania
epiforecasts-EpiNow2,inc death,2,LT,8,4,1,3,1.27,1.49,0.5,1,0.28,1,4,Lithuania
EuroCOVIDhub-baseline,inc case,1,LU,103,45,33,25,1,1,0.4,1,-0.22,1,5,Luxembourg
EuroCOVIDhub-ensemble,inc case,1,LU,112,90,18,4,1.09,0.91,1,1,-0.16,1,5,Luxembourg
IEM_Health-CovidProject,inc case,1,LU,179,109,48,22,1.73,1.85,0.6,1,-0.2,1,5,Luxembourg
ILM-EKF,inc case,1,LU,134,102,4,27,1.3,1,0.8,1,0.1,1,5,Luxembourg
LANL-GrowthRate,inc case,1,LU,201,102,99,0,1.95,2.33,0.4,1,-0.52,1,5,Luxembourg
USC-SIkJalpha,inc case,1,LU,144,71,73,0,1.39,1.45,0.6,0.8,-0.42,1,5,Luxembourg
epiforecasts-EpiNow2,inc case,1,LU,169,80,1,88,1.63,1.6,0.6,0.8,0.44,1,5,Luxembourg
EuroCOVIDhub-baseline,inc case,2,LU,148,85,55,8,1,1,0.5,1,-0.33,1,4,Luxembourg
EuroCOVIDhub-ensemble,inc case,2,LU,161,110,43,8,1.08,1.1,1,1,-0.25,1,4,Luxembourg
IEM_Health-CovidProject,inc case,2,LU,252,140,105,7,1.7,1.72,0.5,1,-0.38,1,4,Luxembourg
ILM-EKF,inc case,2,LU,173,146,8,19,1.17,0.74,1,1,0,1,4,Luxembourg
LANL-GrowthRate,inc case,2,LU,251,100,151,0,1.69,1.93,0.25,1,-0.65,1,4,Luxembourg
USC-SIkJalpha,inc case,2,LU,278,82,189,7,1.87,2.08,0.5,0.75,-0.45,1,4,Luxembourg
epiforecasts-EpiNow2,inc case,2,LU,186,118,2,65,1.25,1.16,0.75,1,0.38,1,4,Luxembourg
EuroCOVIDhub-baseline,inc death,1,LU,6,1,2,3,1,1,0.2,1,-0.02,1,5,Luxembourg
EuroCOVIDhub-ensemble,inc death,1,LU,7,2,2,2,1.22,1.37,0.2,1,0.06,1,5,Luxembourg
IEM_Health-CovidProject,inc death,1,LU,9,3,3,3,1.66,2,0.2,1,-0.08,1,5,Luxembourg
ILM-EKF,inc death,1,LU,9,5,2,2,1.55,1.6,0.6,1,0.14,1,5,Luxembourg
LANL-GrowthRate,inc death,1,LU,7,1,4,2,1.33,1.3,0.2,0.8,-0.04,1,5,Luxembourg
RobertWalraven-ESG,inc death,1,LU,8,1,4,2,1.37,1.25,0,0.4,-0.22,1,5,Luxembourg
USC-SIkJalpha,inc death,1,LU,10,1,6,3,1.81,1.45,0.2,0.2,0,1,5,Luxembourg
epiforecasts-EpiNow2,inc death,1,LU,7,2,2,3,1.24,1.4,0.2,0.8,0.08,1,5,Luxembourg
EuroCOVIDhub-baseline,inc death,2,LU,9,1,3,5,1,1,0,0.75,0.36,1,4,Luxembourg
EuroCOVIDhub-ensemble,inc death,2,LU,11,3,3,5,1.18,1.15,0.25,0.75,0.21,1,4,Luxembourg
IEM_Health-CovidProject,inc death,2,LU,17,6,4,7,1.82,1.91,0.5,1,0.09,1,4,Luxembourg
ILM-EKF,inc death,2,LU,12,6,2,3,1.25,1.24,0.25,1,0.25,1,4,Luxembourg
LANL-GrowthRate,inc death,2,LU,8,1,4,3,0.88,0.84,0.25,0.75,0.12,1,4,Luxembourg
RobertWalraven-ESG,inc death,2,LU,10,1,5,4,1.11,0.96,0.25,0.25,0.12,1,4,Luxembourg
USC-SIkJalpha,inc death,2,LU,15,1,5,8,1.59,1.27,0,0,0,1,4,Luxembourg
epiforecasts-EpiNow2,inc death,2,LU,9,3,1,5,0.96,0.96,0.25,1,0.24,1,4,Luxembourg
EuroCOVIDhub-baseline,inc case,1,LV,228,30,42,156,1,1,0,1,0.19,1,5,Latvia
EuroCOVIDhub-ensemble,inc case,1,LV,232,160,45,27,1.02,1.09,1,1,-0.12,1,5,Latvia
IEM_Health-CovidProject,inc case,1,LV,347,302,41,4,1.52,0.95,1,1,-0.14,1,5,Latvia
ILM-EKF,inc case,1,LV,243,182,28,33,1.07,0.97,1,1,-0.08,1,5,Latvia
LANL-GrowthRate,inc case,1,LV,393,251,141,1,1.72,1.63,0.6,1,-0.34,1,5,Latvia
USC-SIkJalpha,inc case,1,LV,299,113,9,177,1.31,1.16,0.8,0.8,0.18,1,5,Latvia
epiforecasts-EpiNow2,inc case,1,LV,210,80,70,60,0.92,1.08,0.4,1,-0.15,1,5,Latvia
DSMPG-bayes,inc case,1,LV,151,71,54,26,1.23,1.5,0.5,1,-0.25,1,4,Latvia
EuroCOVIDhub-baseline,inc case,2,LV,214,65,6,144,1,1,0.5,1,0.43,1,4,Latvia
EuroCOVIDhub-ensemble,inc case,2,LV,243,203,39,1,1.13,0.61,1,1,-0.18,1,4,Latvia
IEM_Health-CovidProject,inc case,2,LV,422,380,43,0,1.97,1.07,1,1,-0.2,1,4,Latvia
ILM-EKF,inc case,2,LV,302,259,40,4,1.41,0.91,1,1,-0.2,1,4,Latvia
LANL-GrowthRate,inc case,2,LV,429,288,140,0,2,1.83,0.75,1,-0.35,1,4,Latvia
USC-SIkJalpha,inc case,2,LV,296,133,28,135,1.38,1.44,0.75,0.75,0.35,1,4,Latvia
epiforecasts-EpiNow2,inc case,2,LV,165,102,55,9,0.77,0.8,0.75,1,-0.3,1,4,Latvia
EuroCOVIDhub-baseline,inc death,1,LV,5,1,1,3,1,1,0.2,1,0.3,1,5,Latvia
EuroCOVIDhub-ensemble,inc death,1,LV,5,4,1,0,1.01,0.79,0.8,1,-0.14,1,5,Latvia
IEM_Health-CovidProject,inc death,1,LV,9,6,3,0,1.73,1.62,0.8,1,-0.28,1,5,Latvia
ILM-EKF,inc death,1,LV,10,9,1,0,2.08,1.12,1,1,-0.04,1,5,Latvia
LANL-GrowthRate,inc death,1,LV,4,2,2,1,0.87,1.03,0.6,1,-0.17,1,5,Latvia
