weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,compare_against,mean_scores_ratio,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,EuroCOVIDhub-median,1.63,0.43,0.95,-0.01,1386,32,NA
All,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,1.54,0.43,0.95,-0.01,1386,32,NA
All,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,EuroCOVIDhub-mean,0.56,0.43,0.95,-0.01,1386,32,NA
All,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,EuroCOVIDhub-baseline,1,0.43,0.95,-0.01,1386,32,NA
All,EuroCOVIDhub-mean,inc death,1,Overall,0.69,1.82,EuroCOVIDhub-baseline,1.8,0.67,0.97,0.07,1278,32,NA
All,EuroCOVIDhub-mean,inc death,1,Overall,0.69,1.82,EuroCOVIDhub-median,2.93,0.67,0.97,0.07,1278,32,NA
All,EuroCOVIDhub-mean,inc death,1,Overall,0.69,1.82,EuroCOVIDhub-All_relative_skill_weighted_median,3.04,0.67,0.97,0.07,1278,32,NA
All,EuroCOVIDhub-mean,inc death,1,Overall,0.69,1.82,EuroCOVIDhub-All_relative_skill_weighted_mean,2.86,0.67,0.97,0.07,1278,32,NA
All,EuroCOVIDhub-mean,inc death,1,Overall,0.69,1.82,EuroCOVIDhub-mean,1,0.67,0.97,0.07,1278,32,NA
All,EuroCOVIDhub-median,inc death,1,Overall,0.63,0.61,EuroCOVIDhub-baseline,0.61,0.62,0.95,0.01,1278,32,NA
All,EuroCOVIDhub-median,inc death,1,Overall,0.63,0.61,EuroCOVIDhub-All_relative_skill_weighted_median,0.99,0.62,0.95,0.01,1278,32,NA
All,EuroCOVIDhub-median,inc death,1,Overall,0.63,0.61,EuroCOVIDhub-All_relative_skill_weighted_mean,0.93,0.62,0.95,0.01,1278,32,NA
All,EuroCOVIDhub-median,inc death,1,Overall,0.63,0.61,EuroCOVIDhub-mean,0.34,0.62,0.95,0.01,1278,32,NA
All,EuroCOVIDhub-median,inc death,1,Overall,0.63,0.61,EuroCOVIDhub-median,1,0.62,0.95,0.01,1278,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,Overall,0.63,0.58,EuroCOVIDhub-mean,0.44,0.57,0.95,0.1,1149,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,Overall,0.63,0.58,EuroCOVIDhub-baseline,0.58,0.57,0.95,0.1,1149,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,Overall,0.63,0.58,EuroCOVIDhub-All_relative_skill_weighted_median,1.07,0.57,0.95,0.1,1149,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,Overall,0.63,0.58,EuroCOVIDhub-median,1.1,0.57,0.95,0.1,1149,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,Overall,0.63,0.58,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.57,0.95,0.1,1149,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,Overall,0.61,0.54,EuroCOVIDhub-mean,0.41,0.56,0.95,0.05,1149,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,Overall,0.61,0.54,EuroCOVIDhub-baseline,0.54,0.56,0.95,0.05,1149,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,Overall,0.61,0.54,EuroCOVIDhub-median,1.03,0.56,0.95,0.05,1149,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,Overall,0.61,0.54,EuroCOVIDhub-All_relative_skill_weighted_mean,0.93,0.56,0.95,0.05,1149,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,Overall,0.61,0.54,EuroCOVIDhub-All_relative_skill_weighted_median,1,0.56,0.95,0.05,1149,31,NA
All,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,EuroCOVIDhub-median,1.85,0.52,0.92,-0.02,1342,32,NA
