model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,CY,1,0.12251176065027349
ILM-EKF,inc case,CY,1,0.053265982891423265
Karlen-pypm,inc case,CY,1,0.07570951500859598
LANL-GrowthRate,inc case,CY,1,0.18980695312014204
MUNI-ARIMA,inc case,CY,1,0.23234989088844973
RobertWalraven-ESG,inc case,CY,1,0.0998243975668895
USC-SIkJalpha,inc case,CY,1,0.09695175303259054
epiforecasts-EpiNow2,inc case,CY,1,0.1295797468416354
IEM_Health-CovidProject,inc case,CY,2,0.13220345228293381
ILM-EKF,inc case,CY,2,0.05357264079439148
Karlen-pypm,inc case,CY,2,0.05501083249356978
LANL-GrowthRate,inc case,CY,2,0.16071792238317445
MUNI-ARIMA,inc case,CY,2,0.21857637444111724
RobertWalraven-ESG,inc case,CY,2,0.12707928746576583
USC-SIkJalpha,inc case,CY,2,0.14132093175072236
epiforecasts-EpiNow2,inc case,CY,2,0.11151855838832513
IEM_Health-CovidProject,inc case,CY,3,0.12634371101775185
ILM-EKF,inc case,CY,3,0.04116817550016633
Karlen-pypm,inc case,CY,3,0.03627690712390895
LANL-GrowthRate,inc case,CY,3,0.15525286523367812
MUNI-ARIMA,inc case,CY,3,0.21302137322760487
RobertWalraven-ESG,inc case,CY,3,0.15266531747978349
USC-SIkJalpha,inc case,CY,3,0.15394821930734467
epiforecasts-EpiNow2,inc case,CY,3,0.12132343110976171
IEM_Health-CovidProject,inc case,CY,4,0.12129304272598602
ILM-EKF,inc case,CY,4,0.026770399075762587
Karlen-pypm,inc case,CY,4,0.025922787495527358
LANL-GrowthRate,inc case,CY,4,0.1623923381951218
MUNI-ARIMA,inc case,CY,4,0.20257188578979113
RobertWalraven-ESG,inc case,CY,4,0.15846349130330434
USC-SIkJalpha,inc case,CY,4,0.14663785762395326
epiforecasts-EpiNow2,inc case,CY,4,0.15594819779055347
IEM_Health-CovidProject,inc death,CY,1,0.09109776084785313
ILM-EKF,inc death,CY,1,0.08345319350397737
Karlen-pypm,inc death,CY,1,0.1437808032658887
LANL-GrowthRate,inc death,CY,1,0.08173840185663535
MUNI-ARIMA,inc death,CY,1,0.09471275135768858
RobertWalraven-ESG,inc death,CY,1,0.0828736574379775
UMass-MechBayes,inc death,CY,1,0.1437808032658887
USC-SIkJalpha,inc death,CY,1,0.10560890859352887
epiforecasts-EpiNow2,inc death,CY,1,0.1729537198705618
IEM_Health-CovidProject,inc death,CY,2,0.11276354233155526
ILM-EKF,inc death,CY,2,0.09634166723472683
Karlen-pypm,inc death,CY,2,0.1575109797647121
LANL-GrowthRate,inc death,CY,2,0.08338816575778876
MUNI-ARIMA,inc death,CY,2,0.09450658785882726
RobertWalraven-ESG,inc death,CY,2,0.07633224403982201
UMass-MechBayes,inc death,CY,2,0.1417598817882409
USC-SIkJalpha,inc death,CY,2,0.08704554144891985
epiforecasts-EpiNow2,inc death,CY,2,0.15035138977540702
IEM_Health-CovidProject,inc death,CY,3,0.13016150698718254
ILM-EKF,inc death,CY,3,0.072382496568482
Karlen-pypm,inc death,CY,3,0.14547462545626283
LANL-GrowthRate,inc death,CY,3,0.12682403244904966
MUNI-ARIMA,inc death,CY,3,0.12682403244904966
RobertWalraven-ESG,inc death,CY,3,0.12682403244904966
UMass-MechBayes,inc death,CY,3,0.12162632620113778
USC-SIkJalpha,inc death,CY,3,0.14988294743978595
IEM_Health-CovidProject,inc death,CY,4,0.14201109165060094
ILM-EKF,inc death,CY,4,0.056632822047973784
Karlen-pypm,inc death,CY,4,0.10962259706362176
LANL-GrowthRate,inc death,CY,4,0.16021764186221646
MUNI-ARIMA,inc death,CY,4,0.15117309756354294
RobertWalraven-ESG,inc death,CY,4,0.1388552896139209
UMass-MechBayes,inc death,CY,4,0.06791834818072219
USC-SIkJalpha,inc death,CY,4,0.1735691120174011
IEM_Health-CovidProject,inc case,CZ,1,0.031066290660465762
ILM-EKF,inc case,CZ,1,0.0615351526543841
Karlen-pypm,inc case,CZ,1,0.3199827938027973
LANL-GrowthRate,inc case,CZ,1,0.03855214383166233
MUNI-ARIMA,inc case,CZ,1,0.19998924612674834
MUNI_DMS-SEIAR,inc case,CZ,1,0.0561373322461048
RobertWalraven-ESG,inc case,CZ,1,0.21332186253519822
USC-SIkJalpha,inc case,CZ,1,0.03018705601913182
epiforecasts-EpiNow2,inc case,CZ,1,0.04922812212350728
IEM_Health-CovidProject,inc case,CZ,2,0.031953870237107905
ILM-EKF,inc case,CZ,2,0.05576263629612947
Karlen-pypm,inc case,CZ,2,0.20313531793590023
LANL-GrowthRate,inc case,CZ,2,0.07109736127756508
MUNI-ARIMA,inc case,CZ,2,0.1672879088883884
MUNI_DMS-SEIAR,inc case,CZ,2,0.09479648170342012
RobertWalraven-ESG,inc case,CZ,2,0.2843894451102603
USC-SIkJalpha,inc case,CZ,2,0.03791859268136804
epiforecasts-EpiNow2,inc case,CZ,2,0.05365838586986044
IEM_Health-CovidProject,inc case,CZ,3,0.02873118387324964
ILM-EKF,inc case,CZ,3,0.05182880228115621
Karlen-pypm,inc case,CZ,3,0.13911941664941932
LANL-GrowthRate,inc case,CZ,3,0.07774320342173431
MUNI-ARIMA,inc case,CZ,3,0.17621792775593115
MUNI_DMS-SEIAR,inc case,CZ,3,0.09114720401168852
RobertWalraven-ESG,inc case,CZ,3,0.33040861454237086
USC-SIkJalpha,inc case,CZ,3,0.04333227731703224
epiforecasts-EpiNow2,inc case,CZ,3,0.06147137014741784
IEM_Health-CovidProject,inc case,CZ,4,0.029023609166926506
ILM-EKF,inc case,CZ,4,0.0483726819448775
Karlen-pypm,inc case,CZ,4,0.08506919928237079
LANL-GrowthRate,inc case,CZ,4,0.06167516947971882
MUNI-ARIMA,inc case,CZ,4,0.16446711861258353
MUNI_DMS-SEIAR,inc case,CZ,4,0.07475778118753797
RobertWalraven-ESG,inc case,CZ,4,0.41116779653145885
USC-SIkJalpha,inc case,CZ,4,0.0483726819448775
epiforecasts-EpiNow2,inc case,CZ,4,0.07709396184964852
IEM_Health-CovidProject,inc death,CZ,1,0.052542616839933366
ILM-EKF,inc death,CZ,1,0.050383331216374456
Karlen-pypm,inc death,CZ,1,0.33436210716321235
LANL-GrowthRate,inc death,CZ,1,0.056584356596851314
MUNI-ARIMA,inc death,CZ,1,0.14711932715181342
MUNI_DMS-SEIAR,inc death,CZ,1,0.07211731723128109
RobertWalraven-ESG,inc death,CZ,1,0.04540719973821402
UMass-MechBayes,inc death,CZ,1,0.10216619941098154
USC-SIkJalpha,inc death,CZ,1,0.037151345240356924
epiforecasts-EpiNow2,inc death,CZ,1,0.10216619941098154
IEM_Health-CovidProject,inc death,CZ,2,0.0471743523568524
ILM-EKF,inc death,CZ,2,0.06524112559990226
Karlen-pypm,inc death,CZ,2,0.3066332903195406
LANL-GrowthRate,inc death,CZ,2,0.06388193548323763
MUNI-ARIMA,inc death,CZ,2,0.16138594227344244
MUNI_DMS-SEIAR,inc death,CZ,2,0.0747886073950099
RobertWalraven-ESG,inc death,CZ,2,0.04143693112426224
UMass-MechBayes,inc death,CZ,2,0.12776387096647526
USC-SIkJalpha,inc death,CZ,2,0.04200456031774529
epiforecasts-EpiNow2,inc death,CZ,2,0.06968938416353197
IEM_Health-CovidProject,inc death,CZ,3,0.02983137194443148
ILM-EKF,inc death,CZ,3,0.046877870198392325
