weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,epiforecasts-EpiNow2,inc case,1,CZ,1.25,0.99,0.94,0.57,1,0.57,7,1,Czechia
10,epiforecasts-tsensemble,inc case,1,CZ,1.06,0.84,0.8,0.57,1,0.54,7,1,Czechia
10,epiforecasts-weeklygrowth,inc case,1,CZ,0.54,0.46,0.44,0.43,1,0.46,7,1,Czechia
10,fjordhest-ensemble,inc case,1,CZ,1.07,0.79,0.85,0.25,1,0.68,8,1,Czechia
10,EuroCOVIDhub-baseline,inc case,2,CZ,1,1,1,1,1,0.4,8,1,Czechia
10,EuroCOVIDhub-ensemble,inc case,2,CZ,1.01,0.7,0.79,0.62,1,0.58,8,1,Czechia
10,epiforecasts-EpiNow2,inc case,2,CZ,1.14,0.85,0.78,0.17,0.83,0.68,6,1,Czechia
10,epiforecasts-tsensemble,inc case,2,CZ,1.09,0.78,0.72,0.5,0.83,0.67,6,1,Czechia
10,epiforecasts-weeklygrowth,inc case,2,CZ,0.53,0.43,0.4,0.5,1,0.52,6,1,Czechia
10,fjordhest-ensemble,inc case,2,CZ,1.08,0.73,0.82,0.14,1,0.73,7,1,Czechia
10,EuroCOVIDhub-baseline,inc case,3,CZ,1,1,1,1,1,0.33,7,1,Czechia
10,EuroCOVIDhub-ensemble,inc case,3,CZ,1.03,0.67,0.78,0.43,1,0.64,7,1,Czechia
10,epiforecasts-EpiNow2,inc case,3,CZ,1.11,0.8,0.72,0.2,0.8,0.8,5,1,Czechia
10,epiforecasts-tsensemble,inc case,3,CZ,1.14,0.77,0.7,0,0.8,0.8,5,1,Czechia
10,epiforecasts-weeklygrowth,inc case,3,CZ,0.53,0.43,0.39,0.6,1,0.52,5,1,Czechia
10,fjordhest-ensemble,inc case,3,CZ,1.07,0.69,0.8,0.17,1,0.78,6,1,Czechia
10,EuroCOVIDhub-baseline,inc case,4,CZ,1,1,1,1,1,0.27,6,1,Czechia
