location,forecast_date,target_end_date,target,type,quantile,value
IE,2022-01-02,2022-05-07,18 wk ahead inc death,point,NA,1
IE,2022-01-02,2022-05-14,19 wk ahead inc death,point,NA,1
IT,2022-01-02,2022-01-08,1 wk ahead inc case,point,NA,1257482
IT,2022-01-02,2022-01-15,2 wk ahead inc case,point,NA,1323578
IT,2022-01-02,2022-01-22,3 wk ahead inc case,point,NA,948791
IT,2022-01-02,2022-01-29,4 wk ahead inc case,point,NA,477000
IT,2022-01-02,2022-02-05,5 wk ahead inc case,point,NA,190187
IT,2022-01-02,2022-02-12,6 wk ahead inc case,point,NA,63814
IT,2022-01-02,2022-02-19,7 wk ahead inc case,point,NA,26538
IT,2022-01-02,2022-02-26,8 wk ahead inc case,point,NA,15739
IT,2022-01-02,2022-03-05,9 wk ahead inc case,point,NA,12718
IT,2022-01-02,2022-03-12,10 wk ahead inc case,point,NA,14143
IT,2022-01-02,2022-03-19,11 wk ahead inc case,point,NA,16975
IT,2022-01-02,2022-03-26,12 wk ahead inc case,point,NA,20164
IT,2022-01-02,2022-04-02,13 wk ahead inc case,point,NA,23940
IT,2022-01-02,2022-04-09,14 wk ahead inc case,point,NA,28421
IT,2022-01-02,2022-04-16,15 wk ahead inc case,point,NA,33738
IT,2022-01-02,2022-04-23,16 wk ahead inc case,point,NA,40044
IT,2022-01-02,2022-04-30,17 wk ahead inc case,point,NA,47524
IT,2022-01-02,2022-05-07,18 wk ahead inc case,point,NA,56392
IT,2022-01-02,2022-05-14,19 wk ahead inc case,point,NA,66902
IT,2022-01-02,2022-01-08,1 wk ahead inc death,point,NA,76
IT,2022-01-02,2022-01-15,2 wk ahead inc death,point,NA,90
IT,2022-01-02,2022-01-22,3 wk ahead inc death,point,NA,107
IT,2022-01-02,2022-01-29,4 wk ahead inc death,point,NA,127
IT,2022-01-02,2022-02-05,5 wk ahead inc death,point,NA,151
IT,2022-01-02,2022-02-12,6 wk ahead inc death,point,NA,178
IT,2022-01-02,2022-02-19,7 wk ahead inc death,point,NA,205
IT,2022-01-02,2022-02-26,8 wk ahead inc death,point,NA,228
IT,2022-01-02,2022-03-05,9 wk ahead inc death,point,NA,244
IT,2022-01-02,2022-03-12,10 wk ahead inc death,point,NA,249
IT,2022-01-02,2022-03-19,11 wk ahead inc death,point,NA,242
IT,2022-01-02,2022-03-26,12 wk ahead inc death,point,NA,222
IT,2022-01-02,2022-04-02,13 wk ahead inc death,point,NA,193
IT,2022-01-02,2022-04-09,14 wk ahead inc death,point,NA,160
IT,2022-01-02,2022-04-16,15 wk ahead inc death,point,NA,128
IT,2022-01-02,2022-04-23,16 wk ahead inc death,point,NA,100
IT,2022-01-02,2022-04-30,17 wk ahead inc death,point,NA,79
IT,2022-01-02,2022-05-07,18 wk ahead inc death,point,NA,64
IT,2022-01-02,2022-05-14,19 wk ahead inc death,point,NA,56
LV,2022-01-02,2022-01-08,1 wk ahead inc case,point,NA,5183
LV,2022-01-02,2022-01-15,2 wk ahead inc case,point,NA,5919
LV,2022-01-02,2022-01-22,3 wk ahead inc case,point,NA,7015
