forecast_date,target,target_end_date,horizon,location,type,quantile,value
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.01,183
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.025,192
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.05,202
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.1,212
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.15,220
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.2,226
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.25,232
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.3,237
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.35,241
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.4,246
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,CZ,point,NA,66
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,CZ,point,NA,66
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,point,NA,79
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,point,NA,72
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,point,NA,268
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,NL,point,NA,268
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,point,NA,270
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,point,NA,254
